,availability_365
0,False
1,False
2,True
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,True
22,False
23,False
24,False
25,False
26,True
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,True
38,True
39,True
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,False
72,False
73,True
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,True
85,True
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,True
105,False
106,True
107,False
108,True
109,True
110,True
111,False
112,True
113,False
114,False
115,False
116,True
117,False
118,False
119,False
120,False
121,False
122,True
123,False
124,False
125,False
126,False
127,False
128,True
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,False
139,False
140,False
141,False
142,True
143,False
144,False
145,False
146,False
147,False
148,False
149,False
150,False
151,True
152,False
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,True
161,False
162,False
163,False
164,True
165,True
166,False
167,False
168,False
169,True
170,False
171,False
172,False
173,True
174,False
175,False
176,False
177,False
178,True
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,False
202,True
203,False
204,False
205,False
206,False
207,False
208,False
209,True
210,False
211,False
212,False
213,False
214,True
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,True
223,False
224,True
225,False
226,False
227,True
228,True
229,False
230,False
231,False
232,False
233,False
234,False
235,True
236,False
237,False
238,False
239,False
240,False
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,True
249,False
250,True
251,False
252,False
253,True
254,False
255,True
256,False
257,False
